"id_municipio";"vl_ideb";"vl_proj"
2205573;3.8;3.9
2205581;3.1;4.0
2205599;3.4;4.7
2205607;5.6;4.4
2205706;3.4;4.2
2205805;3.3;4.8
2205854;4.0;4.1
2205904;5.0;4.6
2205953;3.8;4.3
2206001;5.3;5.2
2206050;4.4;4.3
2206100;3.7;4.0
2206209;3.4;4.6
2206308;5.1;3.6
2206357;3.9;4.7
2206407;4.1;5.1
2206506;5.1;5.8
2206605;3.8;4.7
2206654;;4.4
2206670;4.7;4.6
2206696;4.1;4.0
2206704;4.2;5.4
2206753;4.4;5.2
2206803;4.0;4.9
2206902;3.8;5.2
2206951;4.7;5.1
2207009;5.7;5.2
2207108;4.7;3.9
2207207;4.9;4.1
2207306;4.8;5.1
2207355;4.9;5.8
2207405;4.2;4.9
2207504;4.2;4.5
2207553;3.8;3.8
2207603;3.9;4.7
2207702;4.2;4.5
2207751;3.4;4.2
2207777;4.4;4.4
2207793;5.0;4.8
2207801;4.5;4.4
2207850;3.7;4.8
2207900;3.9;4.5
2207934;4.4;4.9
2207959;4.2;3.7
2208007;4.5;4.7
2208106;4.2;4.7
2208205;5.7;5.2
2208304;5.9;5.3
2208403;4.7;5.4
2208502;4.2;4.5
2208551;4.4;5.1
2208601;;4.9
2208650;3.8;4.4
2208700;3.7;5.0
2208809;3.6;4.3
2208858;3.9;4.6
2208874;4.4;4.7
2208908;4.5;5.3
2209005;4.3;4.9
2209104;4.5;4.8
2209153;5.1;4.8
2209203;4.5;4.4
2209302;5.1;4.8
2209351;4.8;4.9
2209377;5.0;4.9
2209401;4.1;5.0
2209450;4.1;4.7
2209500;4.9;5.4
2209559;4.6;5.2
2209609;5.5;4.9
2209658;4.4;4.3
2209708;4.7;5.2
2209757;3.9;4.2
2209807;4.1;4.5
2209856;5.8;5.0
2209872;4.7;5.8
2209906;4.8;5.0
2209955;4.0;5.1
2209971;4.7;4.2
2210003;3.6;4.6
2210052;4.4;5.4
2210102;4.7;5.0
2210201;4.7;4.4
2210300;3.9;4.5
2210359;4.4;5.0
2210375;5.2;4.3
2210383;3.3;3.8
2210391;3.3;4.9
2210409;5.1;5.3
2210508;5.0;4.8
2210607;4.0;4.4
2210623;3.7;4.2
2210631;5.2;5.2
2210656;4.3;4.2
2210706;5.1;5.0
2210805;4.8;5.0
2210904;4.0;4.6
2210938;3.6;4.2
2210953;4.9;4.2
2210979;4.2;4.6
2211001;5.6;5.0
2211100;4.4;4.4
2211209;4.7;4.5
2211308;4.3;5.1
2211357;3.8;4.6
2211407;4.2;4.4
2211506;4.2;4.7
2211605;5.1;4.4
2211704;4.2;4.8
2300101;4.6;5.1
2300150;4.9;4.3
2300200;5.3;5.1
2300309;5.5;4.8
2300408;5.5;3.9
2300507;5.1;4.4
2300606;5.4;5.2
2300705;5.8;4.9
2300754;5.2;4.9
2300804;5.1;4.2
2300903;5.2;5.0
2301000;5.1;4.2
2301109;5.2;4.6
2301208;4.9;4.7
2301257;6.9;4.5
2301307;5.6;4.3
2301406;5.3;5.1
2301505;4.8;4.6
2301604;4.7;4.6
2301703;4.7;5.2
2301802;4.4;4.6
2301851;4.9;4.4
2301901;5.5;4.7
2301950;4.8;4.5
2302008;5.4;4.8
2302057;5.9;4.6
2302107;4.5;4.4
2302206;5.4;4.7
2302305;5.7;5.3
2302404;4.8;4.7
2302503;5.8;4.5
2302602;5.2;5.2
2302701;5.8;4.5
2302800;5.7;4.7
2302909;4.7;4.7
2303006;4.9;4.3
2303105;5.8;5.0
2303204;4.8;4.6
2303303;5.0;4.8
2303402;5.2;4.9
2303501;5.4;4.6
2303600;4.9;4.0
2303659;6.9;4.7
2303709;4.2;5.0
2303808;4.7;4.8
2303907;5.0;4.8
2303931;4.9;4.3
2303956;5.4;4.2
2304004;5.7;4.6
2304103;5.1;4.3
2304202;5.0;4.6
2304236;5.2;5.0
2304251;6.9;5.6
2304269;5.4;5.1
2304277;4.8;4.3
2304285;5.3;5.5
2304301;5.1;4.7
2304350;5.7;4.7
2304400;5.1;4.5
2304459;5.7;4.8
2304509;5.9;4.6
2304608;5.1;4.3
2304657;5.3;5.2
2304707;5.0;4.7
2304806;5.5;4.6
2304905;6.1;5.0
2304954;4.6;4.3
2305001;5.2;4.8
2305100;5.1;4.9
2305209;5.1;5.0
2305233;5.7;4.8
2305266;4.3;5.0
2305308;5.2;4.6
2305332;5.3;4.6
2305357;4.9;4.3
2305407;4.2;4.2
2305506;5.1;4.7
2305605;5.9;4.7
2305654;5.2;4.6
2305704;3.9;4.2
2305803;4.9;4.6
2305902;5.1;4.2
2306009;4.8;4.4
2306108;5.7;4.9
2306207;5.9;5.1
2306256;4.8;5.0
2306306;5.3;5.1
2306405;5.3;4.9
2306504;4.7;4.7
2306553;4.8;4.8
2306603;5.9;5.0
2306702;5.3;4.5
2306801;5.1;5.3
2306900;5.3;4.4
2307007;5.3;4.8
2307106;4.9;4.9
2307205;4.9;5.0
2307254;7.0;5.2
2307304;5.0;5.0
2307403;5.5;4.9
2307502;4.4;4.7
2307601;5.6;5.0
2307635;4.2;4.4
2307650;5.3;4.8
2307700;5.0;4.7
2307809;5.0;4.2
2307908;5.6;4.8
2308005;4.9;5.0
2308104;4.8;4.4
2308203;5.9;4.7
2308302;5.0;4.8
2308351;6.4;4.6
2308377;4.5;5.0
2308401;4.3;4.7
2308500;5.5;4.6
2308609;4.7;4.7
2308708;4.4;4.8
2308807;4.9;5.7
2308906;5.6;4.5
2309003;7.0;5.1
2309102;4.8;4.3
2309201;5.1;4.2
2309300;5.1;4.2
2309409;7.7;4.9
2309458;5.1;4.6
2309508;4.6;4.8
2309607;4.9;4.6
2309706;5.1;5.0
2309805;5.0;5.4
2309904;5.2;4.7
2310001;6.0;4.8
2310100;5.0;4.5
2310209;5.4;5.0
2310258;4.8;5.0
2310308;5.6;4.7
2310407;5.0;4.6
2310506;6.1;4.9
2310605;4.8;4.3
2310704;4.7;4.8
2310803;5.2;4.5
2310852;5.1;4.3
2310902;5.8;4.6
2310951;7.8;5.2
2311009;4.9;4.3
2311108;4.9;4.8
2311207;5.0;4.4
2311231;5.0;4.1
2311264;5.3;4.8
2311306;4.7;5.0
2311355;5.2;5.5
2311405;6.4;5.0
2311504;5.4;4.4
2311603;5.1;4.7
2311702;5.0;5.0
2311801;6.0;4.8
2311900;5.7;3.9
2311959;6.0;4.1
2312007;5.3;4.8
2312106;4.4;4.8
2312205;5.5;4.9
2312304;4.8;4.7
2312403;5.7;5.4
2312502;5.5;4.5
2312601;4.4;4.4
2312700;5.0;5.1
2312809;5.1;5.4
2312908;6.9;5.0
2313005;5.0;4.7
2313104;5.3;5.0
