"sg_unidade";"nr_ano";"vl_nota_padronizada";"tx_ind_rendimento";"vl_ideb"
PR;2015;4.423089;0.823657;3.6
SC;2015;4.470972;0.763132;3.4
RS;2015;4.374158;0.762493;3.3
MS;2015;4.58554;0.754374;3.5
MT;2015;4.201374;0.70606;3.0
GO;2015;4.353632;0.876976;3.8
DF;2015;4.42988;0.783574;3.5
RO;2017;4.41998;0.849777;3.8
AC;2017;4.25616;0.847574;3.6
AM;2017;3.923971;0.833986;3.3
RR;2017;3.917667;0.83685;3.3
PA;2017;3.582605;0.785792;2.8
AP;2017;3.806757;0.78917;3.0
TO;2017;4.192785;0.871359;3.7
MA;2017;3.91062;0.864185;3.4
PI;2017;3.908503;0.855293;3.3
CE;2017;4.21241;0.911999;3.8
RN;2017;3.770892;0.758685;2.9
PB;2017;3.878802;0.787094;3.1
PE;2017;4.319209;0.933053;4.0
AL;2017;3.888416;0.854817;3.3
SE;2017;4.083597;0.751322;3.1
BA;2017;3.732387;0.735083;2.7
MG;2017;4.523292;0.794733;3.6
ES;2017;4.773866;0.862532;4.1
RJ;2017;4.168759;0.789561;3.3
SP;2017;4.366298;0.866468;3.8
PR;2017;4.459772;0.821678;3.7
SC;2017;4.353055;0.836262;3.6
RS;2017;4.581585;0.737376;3.4
MS;2017;4.448028;0.806776;3.6
MT;2017;4.157552;0.76855;3.2
GO;2017;4.560466;0.938;4.3
DF;2017;4.312019;0.789517;3.4
RO;2019;4.693116;0.860582;4.0
AC;2019;4.436058;0.843386;3.7
AM;2019;4.014518;0.862818;3.5
RR;2019;4.252199;0.831134;3.5
PA;2019;3.930724;0.802824;3.2
AP;2019;4.024689;0.796978;3.2
TO;2019;4.334516;0.895483;3.9
MA;2019;4.038388;0.905321;3.7
PI;2019;4.280908;0.872307;3.7
CE;2019;4.474796;0.942905;4.2
RN;2019;4.034985;0.792959;3.2
PB;2019;4.348177;0.830673;3.6
PE;2019;4.656781;0.947212;4.4
AL;2019;4.176142;0.865704;3.6
SE;2019;4.246579;0.786085;3.3
BA;2019;4.089573;0.778558;3.2
MG;2019;4.763683;0.838278;4.0
ES;2019;5.046128;0.90326;4.6
RJ;2019;4.4393;0.789034;3.5
SP;2019;4.708547;0.910656;4.3
PR;2019;4.851448;0.897396;4.4
SC;2019;4.761409;0.795703;3.8
RS;2019;4.888663;0.80901;4.0
MS;2019;4.778918;0.852483;4.1
MT;2019;4.375183;0.766159;3.4
GO;2019;4.934957;0.946041;4.7
DF;2019;4.75132;0.834524;4.0
